user,time,tweet,latitude,longitude
j_marcello,Thu Mar 05 03:42:17 +0000 2015,Message of the Leader of the Islamic Republic of Iranhttps://t.co/Q4hXYQrjMt#Letter4u#Letter4youth#Palestine#Israel#Obama#freedom,,
tiffanynhuff,Thu Mar 05 03:42:17 +0000 2015,RT @marissathebrat: @tiffanynhuff @god @obama @MittRomney @GeorgeBush @Lgbtq @dickcheney @JoeBiden yah wtf http://t.co/6H75p3Q91L,,
pamkml,Thu Mar 05 03:42:17 +0000 2015,RT @IngrahamAngle: L2L: @BretBaier 'Why wouldn't Obama go down the street &amp; talk to Netanyahu? They are so far apart on the issues.' http:/,,
Dr_DrewZC,Thu Mar 05 03:42:16 +0000 2015,RT @CaseAgainst: @benfergusonshow @CNNTonight Attacking Carson already? His skin color doesn't protect him like it has with Obama cause he ,,
Invstmnt_StockM,Thu Mar 05 03:42:16 +0000 2015,Senate vote to override Obama's Keystone veto fails http://t.co/SgNv6ENijg,,
tryck_spyder,Thu Mar 05 03:42:15 +0000 2015,RT @Conservative_VW: BIG Question:What did the Obama Administration Know &amp; WHEN DID THEY KNOW IT?#HillaryEmail#WakeUpAmeirca http:,,
dlamage,Thu Mar 05 03:42:15 +0000 2015,"RT @JollyRoger335: @jjauthor @Scully64 @DrMartyFox @KenWahl1 @peddoc63 Let's go a step further- Obama needs to be indicted, on sooo many ch",,
marissathebrat,Thu Mar 05 03:42:15 +0000 2015,RT @tiffanynhuff: @marissathebrat @god @obama @MittRomney @GeorgeBush @Lgbtq @dickcheney @JoeBiden im pregnant now,,
LDSFeelings,Thu Mar 05 03:42:14 +0000 2015,RT @LDSagency: #CWC15#BANvSCO#SCO318/8 in 50 overs#TSMonson#LDS#WorldCup#OBAMA#MUFC#STOCK#Soccer#F4F#Football#TFB#SNRTG#FF#,,
futurepundit,Thu Mar 05 03:42:14 +0000 2015,RT @kausmickey: Did the administration lie to a federal judge about Obama's immigration action? http://t.co/qjV8e7h1Vf,,
bevrobertson3,Thu Mar 05 03:42:14 +0000 2015,"RT @Clibux: I see a pathetic, desperate and delusional Obama. #NetanyahuSpeech #PJNET http://t.co/Rz8R7Cvx6g",,
LMWhitcomb,Thu Mar 05 03:42:14 +0000 2015,"RT @RebellionReport: @LMWhitcomb: Dems throw temper tantrums Netanyahu made Obama look stupid http://t.co/HSGJsTwnTL via @BizPacReview"" ht",,
renmicpa,Thu Mar 05 03:42:14 +0000 2015,RT @Numbers28: GOP has been surviving on loathing Prez Obama &amp; by pointing at problems to raise fear &amp; hatred. GOP has no workable plans fo,,
ngaio420,Thu Mar 05 03:42:13 +0000 2015,"RT @debrcarter: Dear Pres Obama, AG Holder #Ferguson PD + muni court routinely ... to the level DOJ report describes sounds like racketeeri",,
WitteCcs,Thu Mar 05 03:42:12 +0000 2015,"ella_earle: RT AHMalcolm: Why's This? Egypt, Jordan Fight #ISIS So Obama Cuts Aid Then He  Holds Back Intel from Israel ",,
PositiveGlobal,Thu Mar 05 03:42:12 +0000 2015,Senate Fails to Override Obama's Keystone Veto http://t.co/iEuPvCYw7N,,
TerTjw,Thu Mar 05 03:42:12 +0000 2015,"Texas Gov Abbott says Obama MISLED Fed Judge, pushes for CONTEMPT http://t.co/dl3cHkBJNp",,
nayamears,Thu Mar 05 03:42:12 +0000 2015,@Free_Zone20: Is it true Obama is dropping the drinking age to 18?!?! If it is that will honestly be his dumbest decision he's made,,
